#{"t_start": 1713105789.0286548, "env_id": null}
r,l,t
-2648.126946,7142,7.750233
-4301.155847,7142,15.002998
-3158.286444,7142,21.876425
-4895.597211,7142,29.215816
-2559.509402,7142,36.077701
-4854.838276,7142,43.348947
-3845.639732,7142,50.17147
-3921.006783,7142,68.515642
-7297.140575,7142,86.28741
-2230.058091,7142,104.312097
-4367.853556,7142,122.597735
-2121.938746,7142,140.755533
-2311.98436,7142,158.910156
-2738.464641,7142,188.965378
-2586.759949,7142,210.972168
-1726.662693,7142,231.492591
-4259.003254,7142,252.705707
-1193.396231,7142,274.538291
-428.699521,7142,295.556083
-1696.515101,7142,316.36206
-2780.474081,7142,338.240503
-1269.040329,7142,359.727731
-1113.238565,7142,380.396414
-601.062445,7142,401.250601
-2227.796485,7142,422.068099
-1905.455957,7142,443.213771
-1326.980588,7142,464.488512
-718.041367,7142,487.619049
-1037.784082,7142,509.729242
-508.129444,7142,531.966815
-1998.918926,7142,552.860264
-1458.085919,7142,574.739439
-1598.949924,7142,595.649092
-587.27425,7142,618.003648
-621.894612,7142,639.869573
-2139.327413,7142,661.830654
-968.286542,7142,682.201909
-664.257903,7142,702.897055
-553.401007,7142,722.357898
-1208.497931,7142,742.082642
-984.970047,7142,762.465147
-249.962331,7142,781.742257
-486.520136,7142,800.856601
-672.643188,7142,820.013945
-176.01121,7142,839.0213
-677.100469,7142,858.354335
266.836083,7142,877.781355
-330.343019,7142,897.041992
-1482.985777,7142,916.136817
-389.688418,7142,935.695381
571.79,7142,955.311875
-471.897911,7142,974.44637
-855.707126,7142,993.69602
-284.424429,7142,1012.897309
-634.06163,7142,1032.133867
105.343734,7142,1052.735988
57.177141,7142,1074.11456
-1253.290812,7142,1094.370468
-522.350897,7142,1117.619784
-603.315933,7142,1140.942809
-660.401961,7142,1164.81495
-225.118766,7142,1188.513605
553.291073,7142,1212.219782
545.311843,7142,1235.619655
1379.020483,7142,1259.078163
244.575096,7142,1282.80706
582.348654,7142,1306.922643
341.787261,7142,1330.68803
449.559874,7142,1354.442657
254.321533,7142,1378.033194
1399.432618,7142,1401.48496
90.540551,7142,1425.375488
-22.050764,7142,1448.95003
542.932005,7142,1468.858214
945.826398,7142,1487.988585
410.691819,7142,1507.291428
-65.929622,7142,1526.585203
-325.67709,7142,1547.012331
-486.66879,7142,1566.400482
126.428288,7142,1585.630374
600.550265,7142,1605.207113
83.777902,7142,1624.393656
-202.115124,7142,1643.738192
476.386179,7142,1663.169263
-575.901568,7142,1682.785101
-66.330693,7142,1702.536762
295.832797,7142,1721.842102
917.396957,7142,1741.765068
-538.940924,7142,1761.920129
-851.629236,7142,1782.10779
1191.299114,7142,1801.719601
1120.909325,7142,1820.995915
-373.252934,7142,1840.678885
593.554191,7142,1859.883863
117.562411,7142,1879.520926
-183.16743,7142,1899.610911
443.206296,7142,1918.715883
2163.224899,7142,1938.13203
706.648999,7142,1957.179172
-653.052387,7142,1976.687196
949.627183,7142,1995.896244
822.41783,7142,2015.064099
-670.949469,7142,2035.06101
1102.289722,7142,2054.19112
2250.846781,7142,2073.434467
2114.503135,7142,2092.576447
2088.341806,7142,2111.744266
1531.06968,7142,2131.096349
2349.962695,7142,2150.797031
2907.58511,7142,2171.056726
1289.873675,7142,2189.787479
707.126803,7142,2209.000927
642.465201,7142,2227.809517
-861.189566,7142,2247.410291
681.986859,7142,2267.258545
2913.454299,7142,2285.948986
3224.383815,7142,2306.185689
2718.999948,7142,2325.708345
1796.291635,7142,2343.99625
1726.521646,7142,2362.985946
1645.710557,7142,2381.210036
1131.14976,7142,2400.302918
2955.061692,7142,2419.587662
4133.59938,7142,2438.960675
3722.130581,7142,2457.195212
2247.3338,7142,2475.526879
1680.215642,7142,2493.723179
91.255406,7142,2511.973063
1044.461767,7142,2530.229876
88.930499,7142,2549.15103
3434.591944,7142,2568.051072
2037.986438,7142,2586.270643
-42.223946,7142,2605.04389
1097.420984,7142,2624.089267
1813.667614,7142,2642.072849
224.48317,7142,2660.682256
723.492784,7142,2678.818943
1374.066445,7142,2697.58561
1795.006708,7142,2715.774847
1183.551936,7142,2733.823978
1303.733546,7142,2752.001054
3326.65699,7142,2770.256611
-415.019513,7142,2788.75602
1593.891487,7142,2807.248291
1403.328839,7142,2825.774673
2916.747516,7142,2844.391518
1929.905049,7142,2862.586422
1034.217591,7142,2880.958377
2366.338883,7142,2899.018503
-2.580982,7142,2917.542324
3382.588303,7142,2936.179721
2925.73486,7142,2954.298143
895.070767,7142,2972.687191
3676.582299,7142,2990.938828
3055.050331,7142,3009.314699
3317.734331,7142,3027.519857
2846.769392,7142,3045.731875
4642.023393,7142,3064.137827
3927.873865,7142,3082.421793
2782.580877,7142,3100.723306
4073.54888,7142,3118.81047
2518.344146,7142,3137.23489
2181.104922,7142,3155.655295
606.922871,7142,3174.23803
7772.492417,7142,3192.582301
3592.07439,7142,3211.106997
383.395703,7142,3230.084688
5367.684388,7142,3248.400809
-682.354356,7142,3267.396506
3927.15511,7142,3285.724726
5143.851811,7142,3303.846973
3683.859085,7142,3322.178956
5509.391008,7142,3340.41872
4287.765058,7142,3358.776695
5623.934605,7142,3377.119363
5561.400575,7142,3395.328877
5506.852615,7142,3413.543161
3131.434081,7142,3431.837296
5702.36028,7142,3450.252623
5657.990919,7142,3468.660531
8658.723835,7142,3486.931071
4038.084431,7142,3505.15821
4987.786355,7142,3523.390422
5768.074635,7142,3541.630957
-342.827897,7142,3560.417977
4214.527872,7142,3578.73631
1055.872007,7142,3599.740125
6988.289326,7142,3619.72673
5419.59591,7142,3639.08589
5643.016807,7142,3658.245147
3146.98727,7142,3677.98377
5646.745931,7142,3697.287043
5188.234648,7142,3717.085927
4426.012888,7142,3736.34373
3660.912785,7142,3755.637657
8264.165904,7142,3774.968152
8532.413799,7142,3794.225722
8359.649805,7142,3813.69928
4326.521183,7142,3833.227134
2404.002846,7142,3852.709055
8764.407317,7142,3872.133119
8543.438364,7142,3891.385794
7024.74069,7142,3910.70478
5475.735959,7142,3929.97835
3212.658489,7142,3949.714701
7915.651063,7142,3968.90748
2281.992302,7142,3988.576578
5141.445995,7142,4008.188
5270.408349,7142,4027.530643
6584.054172,7142,4046.795479
5156.577054,7142,4065.985056
6376.160982,7142,4085.529633
3156.038819,7142,4105.054807
2034.274818,7142,4124.829216
6475.527405,7142,4144.056357
7361.365225,7142,4163.191838
6255.539957,7142,4182.412814
4300.16199,7142,4202.063004
6909.431458,7142,4221.609129
7005.336383,7142,4241.38864
4974.938939,7142,4260.46449
5958.649426,7142,4280.414312
9440.804138,7142,4299.571808
5535.095983,7142,4318.906114
6774.575598,7142,4338.434297
7928.957115,7142,4357.965785
7662.26381,7142,4377.28108
5474.939724,7142,4396.385466
9199.305601,7142,4415.582085
7294.374243,7142,4434.940624
6779.220235,7142,4454.354191
10038.081943,7142,4473.593007
4847.140321,7142,4493.387506
3118.478444,7142,4513.074987
8779.960892,7142,4532.469453
3089.85593,7142,4552.106004
9063.984275,7142,4571.45874
10010.423514,7142,4590.898875
6526.602511,7142,4610.295368
-3241.933502,7142,4630.145555
7763.613753,7142,4649.356274
8268.006645,7142,4668.974289
7436.794056,7142,4688.607805
6006.257751,7142,4708.200355
7478.858985,7142,4727.362803
6529.399936,7142,4746.601372
6943.19052,7142,4766.943661
4066.610089,7142,4788.380863
10829.239517,7142,4808.343942
9684.02249,7142,4828.643752
9035.609924,7142,4848.84379
8772.003927,7142,4868.646364
4134.299485,7142,4889.514474
6592.058494,7142,4909.872514
7579.581181,7142,4930.254573
9795.765195,7142,4951.129025
5009.85143,7142,4971.396197
3146.152734,7142,4992.921761
8938.348521,7142,5013.073735
9864.04389,7142,5033.261052
7959.082602,7142,5053.948487
6019.181851,7142,5074.320661
10370.382595,7142,5093.730221
8577.495048,7142,5113.150793
12249.425318,7142,5132.95105
7485.628779,7142,5152.991225
6031.244646,7142,5173.485439
11301.535343,7142,5193.59041
6817.391187,7142,5213.707529
6318.535344,7142,5233.027434
7457.893407,7142,5252.319301
9677.689208,7142,5271.641645
9871.185965,7142,5290.751651
12545.138253,7142,5310.23431
8351.616174,7142,5329.390411
6012.336031,7142,5348.851327
11022.304499,7142,5368.167364
8496.956723,7142,5387.332287
5820.357141,7142,5406.954332
5608.449332,7142,5426.378191
6376.273134,7142,5446.20023
8211.592098,7142,5465.58911
7223.919034,7142,5484.933103
7079.093228,7142,5504.497346
8781.360126,7142,5523.757685
11263.800458,7142,5543.178015
5236.431094,7142,5562.977072
7247.942518,7142,5582.310888
6352.644088,7142,5601.554137
8017.371894,7142,5621.159997
8230.257569,7142,5640.490508
6976.193969,7142,5660.179136
7216.2138,7142,5679.64285
10260.704102,7142,5699.068216
6437.449293,7142,5718.638018
5736.02141,7142,5738.206121
8341.838795,7142,5757.552749
9558.269534,7142,5777.00077
4118.390964,7142,5796.624349
7300.847367,7142,5816.213833
7629.075061,7142,5835.535184
8471.42253,7142,5854.826023
12073.83515,7142,5874.35172
5581.848381,7142,5893.574553
9427.383336,7142,5913.087727
8432.992442,7142,5932.379881
12379.041492,7142,5951.586768
8303.865042,7142,5971.011902
7835.182124,7142,5990.263927
9793.797722,7142,6009.649899
1555.985747,7142,6029.241119
4620.394125,7142,6049.064476
8253.312991,7142,6068.330622
5287.492326,7142,6087.901127
