#{"t_start": 1713106215.168335, "env_id": null}
r,l,t
-154.583869,1428,4.718919
-839.087031,1428,8.470678
-501.602024,1428,12.232193
-762.261887,1428,15.897044
-858.488355,1428,19.616425
-916.148168,1428,23.400614
-2162.235823,1428,27.221459
-1912.702389,1428,30.963259
-1343.556509,1428,34.762265
-1851.265961,1428,38.5079
-1323.584842,1428,42.332296
-2055.243485,1428,46.143732
-1287.082925,1428,49.972842
-1160.670274,1428,53.718773
-1235.587974,1428,57.557154
-1327.753653,1428,61.379961
-473.922059,1428,65.108366
-939.998168,1428,68.944154
-265.226963,1428,72.710902
85.568302,1428,76.531817
-46.186017,1428,80.280535
-1252.162672,1428,84.020596
-779.153026,1428,87.780024
-474.2381,1428,91.555711
-1253.567345,1428,95.274515
-810.167119,1428,99.042785
-1247.586489,1428,102.863004
-987.190607,1428,106.678908
-1371.608021,1428,110.504714
-1141.83487,1428,114.306209
-483.279534,1428,118.169677
-1075.315332,1428,121.847204
-447.573297,1428,125.635638
-428.14815,1428,129.430895
-1610.917362,1428,133.179755
-984.213239,1428,136.923311
-760.324678,1428,140.767159
-600.45119,1428,144.555501
-823.602111,1428,148.340983
-309.246711,1428,152.091342
-686.734107,1428,155.854786
-1083.956601,1428,159.594341
-1031.744652,1428,163.33228
-1319.930122,1428,167.023263
-1936.554064,1428,170.857105
-983.136527,1428,174.616768
-936.953851,1428,178.38334
-817.8747,1428,182.092565
-532.763458,1428,185.848779
-604.612357,1428,189.690899
-647.267619,1428,193.492612
-884.902513,1428,197.275033
-478.944033,1428,201.081099
-875.475768,1428,204.878133
-400.302775,1428,208.620219
-952.167063,1428,212.457384
-346.757348,1428,216.233789
-471.91618,1428,220.065214
32.220104,1428,223.863815
-192.395472,1428,227.60943
-388.494429,1428,231.281854
-137.611657,1428,235.030512
-252.495678,1428,238.837359
-735.154688,1428,242.6544
-523.769502,1428,246.395932
-183.326046,1428,250.144274
437.530733,1428,253.983396
-383.022824,1428,257.797251
-810.988143,1428,261.614339
-278.929125,1428,265.360962
44.354027,1428,269.099882
-463.20904,1428,272.854411
-534.432001,1428,276.593531
-563.420348,1428,280.350333
-637.844316,1428,284.120239
-529.840129,1428,287.926081
-1387.086558,1428,291.810176
-1267.510639,1428,295.635008
-550.144257,1428,299.368683
-808.570282,1428,303.155475
-559.876628,1428,306.947074
-628.58743,1428,310.747149
-992.046338,1428,314.538727
-674.381096,1428,318.332105
-324.809011,1428,322.039673
-262.355704,1428,325.861379
-708.889847,1428,329.606072
-330.498467,1428,333.370008
-468.975657,1428,337.345737
-651.84993,1428,341.276136
-178.38529,1428,345.124019
-287.850273,1428,348.831568
-1064.513505,1428,352.563256
-1316.067249,1428,356.295292
-1322.060676,1428,360.115458
-723.300857,1428,363.888728
-823.357925,1428,367.71475
-173.253221,1428,371.488489
-614.890709,1428,375.319745
-541.069776,1428,379.130008
-1167.684034,1428,382.964387
-574.700937,1428,386.761704
-263.85788,1428,390.552612
-96.381895,1428,394.323961
-366.46311,1428,398.126648
-557.663846,1428,401.921866
-160.408181,1428,405.715368
-1429.807508,1428,409.549731
-236.869471,1428,413.331607
-174.322264,1428,417.1349
-1072.583241,1428,420.96299
-598.931549,1428,424.78509
-976.073507,1428,428.50655
-1765.72039,1428,432.176026
-822.410668,1428,435.934692
-1078.701044,1428,439.747749
-613.019594,1428,443.580682
-519.745679,1428,447.407041
-373.449177,1428,451.243044
-286.504275,1428,454.972034
-817.898469,1428,458.799659
-534.434932,1428,462.689239
-480.329099,1428,466.525704
-564.081907,1428,470.343218
-937.289131,1428,474.094672
-818.60679,1428,477.872292
-103.724782,1428,481.678086
-275.913694,1428,485.499997
-289.81053,1428,489.249126
-387.206704,1428,493.078316
-510.02221,1428,496.880183
-260.555852,1428,500.722533
-536.27069,1428,504.442342
-915.732728,1428,508.21204
-889.596223,1428,511.98932
-1359.55716,1428,515.813885
446.672981,1428,519.594387
-515.119975,1428,523.387768
-426.392022,1428,527.177239
-176.169529,1428,530.917033
-161.359359,1428,534.705271
-358.013699,1428,538.498693
-593.705553,1428,542.239041
-710.757169,1428,546.041822
-274.436628,1428,549.811178
-397.538483,1428,553.62501
-771.571554,1428,557.358003
-910.159824,1428,561.126492
760.496094,1428,564.94697
-741.851091,1428,568.785383
-318.899923,1428,572.570101
-310.773056,1428,576.423613
-746.52744,1428,580.246229
-503.966626,1428,584.139101
-114.960123,1428,587.995321
-489.247077,1428,591.839593
-262.020942,1428,595.603637
-380.09897,1428,599.505705
-659.228606,1428,603.184393
-1227.214502,1428,606.928987
-629.266928,1428,610.671668
-408.967181,1428,614.393813
-441.465804,1428,618.075895
-409.755006,1428,621.833618
-207.55699,1428,625.53187
216.068708,1428,629.228785
-411.750299,1428,632.986856
-353.252954,1428,636.700302
-530.489135,1428,640.485846
-98.22463,1428,644.268745
-302.780358,1428,647.977542
-359.328738,1428,651.699818
-1110.025325,1428,655.41463
-453.960467,1428,659.156511
-575.315332,1428,662.942187
-606.067951,1428,666.683334
-768.528001,1428,670.515586
-687.565112,1428,674.37989
-437.722167,1428,678.179492
-456.131641,1428,681.895556
-10364.332245,1177,685.000415
-67.730046,1428,688.774149
-853.15849,1428,692.581779
-304.196401,1428,696.367562
-1128.97188,1428,700.150851
-348.318131,1428,703.919362
-662.049063,1428,707.7923
-236.895531,1428,711.600431
-267.941045,1428,715.341323
-460.06311,1428,719.1296
-649.368776,1428,722.987809
-845.709913,1428,726.737968
-184.917555,1428,730.54879
1.217742,1428,734.365503
-593.568164,1428,738.14752
-716.454355,1428,741.967447
-451.620508,1428,745.767855
-328.731216,1428,749.526286
-251.300912,1428,753.234266
-1444.10356,1428,757.018967
-504.760317,1428,760.774639
-307.674323,1428,764.556371
-493.267961,1428,768.329034
-880.231328,1428,772.215403
-693.925671,1428,776.061215
-293.050254,1428,779.959977
-366.930556,1428,783.814678
-1291.097439,1428,787.639997
-531.596722,1428,791.376003
-380.334997,1428,795.193057
-263.619108,1428,798.93844
-155.709073,1428,802.658304
69.15236,1428,806.433874
-334.644108,1428,810.241619
-101.654033,1428,814.043735
-351.522141,1428,817.827075
-231.293329,1428,821.678939
-356.560315,1428,825.512194
-631.192348,1428,829.331676
-694.024002,1428,833.143881
-489.544939,1428,836.980018
-179.409601,1428,840.789631
-111.599393,1428,844.590975
-521.019295,1428,848.333584
6.918326,1428,852.15987
-1519.632568,1428,855.978099
-582.20862,1428,859.702771
-957.492984,1428,863.464739
-490.91263,1428,867.303314
-484.062068,1428,871.045287
-814.695746,1428,874.802716
-539.287568,1428,878.579454
-260.473815,1428,882.449012
-310.458043,1428,886.279537
-319.575822,1428,890.178336
-433.400407,1428,893.937593
-396.409874,1428,897.730888
-601.387791,1428,901.505622
-1189.164619,1428,905.311888
-36.715164,1428,909.134914
-572.700553,1428,912.892381
20.139195,1428,916.721653
-250.118682,1428,920.466686
-52.954387,1428,924.198255
-640.509482,1428,928.029065
-203.721719,1428,931.844473
-705.941081,1428,935.653868
-1013.311572,1428,939.424517
261.469927,1428,943.242208
-581.373496,1428,947.067969
-183.425012,1428,950.822128
-511.388006,1428,954.65789
-359.942317,1428,958.429619
-973.179836,1428,962.231593
-378.314515,1428,965.934628
-366.602525,1428,969.669824
-219.117751,1428,973.513261
-211.322321,1428,977.229784
-443.54532,1428,981.040547
-718.173761,1428,984.829303
-462.601419,1428,988.623705
-234.571483,1428,992.429014
-281.569973,1428,996.207579
-278.1041,1428,1000.008046
-611.100736,1428,1003.844386
-538.777365,1428,1007.743567
-408.3395,1428,1011.547745
-317.897839,1428,1015.387448
-547.622274,1428,1019.140996
-918.894082,1428,1022.980061
-718.615414,1428,1026.764621
-326.334586,1428,1030.574908
-199.662226,1428,1034.353227
-15.522566,1428,1038.123118
-108.775809,1428,1041.900604
-677.434915,1428,1045.653775
-219.828785,1428,1049.555613
-255.143972,1428,1053.348824
-323.349318,1428,1057.135981
-415.975555,1428,1060.961678
-396.647282,1428,1064.747601
-933.291106,1428,1068.54573
-504.128119,1428,1072.405187
-440.749904,1428,1076.187718
-116.946847,1428,1080.015824
509.635283,1428,1083.82353
27.163477,1428,1087.675153
-275.433652,1428,1091.445718
-308.111351,1428,1095.298271
-439.970132,1428,1099.131584
-155.516803,1428,1102.922651
-608.32528,1428,1106.653834
-490.048981,1428,1110.437333
-103.98286,1428,1114.150784
-180.977449,1428,1117.948245
-96.622644,1428,1121.733206
-1044.291111,1428,1125.514565
-360.434205,1428,1129.201313
-30.794642,1428,1132.923654
-280.002071,1428,1136.672347
-472.791009,1428,1140.485393
-279.933894,1428,1144.287466
724.774976,1428,1148.066844
-119.225005,1428,1151.967089
-256.326313,1428,1155.697489
-242.598533,1428,1159.478441
-596.767247,1428,1163.170359
-307.937365,1428,1166.945492
-189.123035,1428,1170.696589
-329.725429,1428,1174.444712
-129.003162,1428,1178.175052
-734.087654,1428,1181.946764
-35.862048,1428,1185.755236
-386.806819,1428,1189.496382
-1529.466027,1428,1193.233814
149.204063,1428,1197.08029
-731.934501,1428,1200.868308
-483.202151,1428,1204.681362
238.017678,1428,1208.504815
-123.272906,1428,1212.290604
-278.164465,1428,1216.156604
-722.81448,1428,1219.89135
-567.468114,1428,1223.693304
-8.772144,1428,1227.538883
-615.708296,1428,1231.356689
3.918635,1428,1235.19597
-223.940479,1428,1238.990309
-250.817724,1428,1242.800389
277.061579,1428,1246.608604
-314.670921,1428,1250.374887
-134.718742,1428,1254.123085
-367.524596,1428,1257.973934
-360.91353,1428,1261.789905
720.817954,1428,1265.608886
-319.671806,1428,1269.34107
-442.241347,1428,1273.115392
-579.419974,1428,1276.851134
-278.240801,1428,1280.626839
-198.920232,1428,1284.465837
-651.651317,1428,1288.296031
-256.657361,1428,1292.085986
-483.921847,1428,1295.819291
322.265133,1428,1299.611685
-511.913759,1428,1303.354269
-1332.177305,1428,1307.13902
-707.298233,1428,1310.959657
-226.241448,1428,1314.688263
-55.80932,1428,1318.410614
-524.946716,1428,1322.135515
-435.656581,1428,1325.905514
-135.287579,1428,1329.679286
-217.777138,1428,1333.345759
-235.614981,1428,1337.125832
-153.495128,1428,1340.829759
-52.227617,1428,1344.569626
137.479004,1428,1348.384997
-268.728865,1428,1352.140407
-83.064033,1428,1355.908954
-132.704061,1428,1359.820128
-343.620166,1428,1363.522568
-399.208045,1428,1367.330413
-52.002856,1428,1371.244606
-622.121016,1428,1375.036971
-124.325256,1428,1378.871136
-528.833661,1428,1382.742304
-318.466157,1428,1386.536644
-79.2573,1428,1390.327956
-436.512318,1428,1394.113309
-270.243793,1428,1397.959425
34.607494,1428,1401.735623
-123.936407,1428,1405.553695
-488.16829,1428,1409.38018
-220.039565,1428,1413.161286
-350.83588,1428,1417.003575
-166.571061,1428,1420.767833
-462.853418,1428,1424.574724
-417.063888,1428,1428.423974
-487.184125,1428,1432.281796
-428.269605,1428,1436.073
-399.676853,1428,1439.913246
-98.721904,1428,1443.759547
-177.529504,1428,1447.658898
-230.959798,1428,1451.392881
-245.695431,1428,1455.20385
-230.922052,1428,1459.05052
-14.321699,1428,1462.832707
-158.671585,1428,1466.661009
-213.957117,1428,1470.518838
-152.647314,1428,1474.396486
-762.502171,1428,1478.254371
-440.044029,1428,1482.119015
-471.126017,1428,1485.877584
-607.53539,1428,1489.637943
-795.79624,1428,1493.456441
-525.823327,1428,1497.264201
-93.996158,1428,1501.107128
483.55925,1428,1504.893414
650.616062,1428,1508.699136
-474.797509,1428,1512.47144
-57.871594,1428,1516.22067
-84.314167,1428,1520.046764
-496.138541,1428,1523.847116
-264.567775,1428,1527.680551
-231.326205,1428,1531.470367
-194.943154,1428,1535.281617
-402.633816,1428,1539.133952
546.354362,1428,1542.920211
-264.564282,1428,1546.672588
-356.390698,1428,1550.480927
-420.297055,1428,1554.283261
-160.889737,1428,1558.125745
42.441694,1428,1561.924582
-568.176331,1428,1565.694329
-29.055995,1428,1569.519865
-329.561024,1428,1573.325049
7.704313,1428,1577.090589
-248.585121,1428,1580.906513
-59.760723,1428,1584.660979
-238.40164,1428,1588.409728
-462.35491,1428,1592.274131
-88.42801,1428,1596.125045
-390.09906,1428,1599.971357
-239.968576,1428,1603.830277
-40.997518,1428,1607.743294
-434.92218,1428,1611.591851
-88.763224,1428,1615.351465
-352.84444,1428,1619.159273
-19.669711,1428,1622.924537
-266.395682,1428,1626.744447
-472.358185,1428,1630.634208
-200.15615,1428,1634.421481
52.963348,1428,1638.178631
109.233296,1428,1641.998044
-245.354054,1428,1645.814744
-413.593439,1428,1649.657875
-97.935642,1428,1653.496808
349.796799,1428,1657.300963
-496.612123,1428,1661.095636
-976.362934,1428,1664.940839
-195.940595,1428,1668.754329
126.531496,1428,1672.562166
-144.927852,1428,1676.431227
-382.022421,1428,1680.208081
691.181493,1428,1684.064483
-1456.004202,1428,1687.849329
-124.568343,1428,1691.695357
-567.45802,1428,1695.393892
-244.456552,1428,1699.194274
-971.991952,1428,1702.951576
-283.40735,1428,1706.800186
-45.556215,1428,1710.608268
221.479283,1428,1714.390329
-655.733476,1428,1718.115183
-142.652256,1428,1721.983533
-258.91078,1428,1725.797355
-32.800338,1428,1729.481529
-186.084444,1428,1733.235022
-246.432078,1428,1736.934466
-587.723202,1428,1740.654777
-394.717688,1428,1744.432563
-77.624891,1428,1748.20543
40.483237,1428,1751.914495
-309.992494,1428,1755.75984
-217.088904,1428,1759.441926
-125.117319,1428,1763.220116
240.938877,1428,1767.035602
-616.663952,1428,1770.785782
281.379998,1428,1774.526227
-673.787322,1428,1778.373934
