#{"t_start": 1713165478.091566, "env_id": null}
r,l,t
-5595.683014,3571,17.252514
-5996.396869,3571,33.207843
-6334.395813,3571,49.110961
-5626.314596,3571,65.132926
-5109.862635,3571,81.989951
-4260.701574,3571,98.340493
-4620.867833,3571,114.77703
-4492.75178,3571,131.109008
-4427.808153,3571,147.91445
-3924.8162,3571,164.568205
-3548.707408,3571,181.285802
-3667.347025,3571,198.040328
-4080.120635,3571,214.692291
-3344.338836,3571,231.958181
-1895.376003,3571,250.43301
-3796.828659,3571,267.005649
-3114.426371,3571,283.702804
-3346.263894,3571,300.782063
-3226.68089,3571,317.616628
-2867.017698,3571,334.632025
-3079.212218,3571,351.448102
-775.589321,3571,371.448374
-748.710909,3571,391.81321
-2577.516173,3571,408.68727
-2519.097715,3571,424.880138
-2358.455297,3571,441.183567
-2308.841798,3571,457.73878
-2284.382962,3571,474.218018
-1871.547575,3571,490.936266
-2851.057835,3571,508.044267
-911.664026,3571,527.687258
-2177.814333,3571,545.46698
-1443.399098,3571,563.909545
-2042.394215,3571,581.193356
-1335.64889,3571,599.530979
-1041.294799,3571,619.199217
-1039.470358,3571,638.149867
-706.777018,3571,657.692343
-629.125794,3571,677.482075
-615.957742,3571,697.398136
-1055.642487,3571,716.583282
-722.532849,3571,735.559201
-529.807115,3571,755.191454
-687.899685,3571,774.506305
-818.43001,3571,794.135487
-496.557212,3571,813.591336
-559.189409,3571,832.971061
-512.34798,3571,852.460092
-805.641833,3571,871.276244
-668.282459,3571,890.66348
-458.418072,3571,909.855968
-471.392303,3571,929.112768
-417.537209,3571,948.37139
-432.588171,3571,968.118138
-469.357344,3571,987.086266
-331.409013,3571,1006.178248
-791.581887,3571,1024.938493
-452.83899,3571,1044.154027
-435.329901,3571,1063.769252
-522.067359,3571,1082.464327
-221.954125,3571,1101.508786
-228.705316,3571,1120.677373
-329.524198,3571,1139.93119
-248.341631,3571,1158.948106
-223.44467,3571,1178.050067
-215.248675,3571,1197.312492
-200.444649,3571,1216.413056
-173.045318,3571,1236.084817
-194.471249,3571,1255.181764
-66.301262,3571,1274.331552
-90.296261,3571,1293.554052
-106.570908,3571,1313.195148
-48.655588,3571,1332.320276
-85.397606,3571,1351.193376
-150.160202,3571,1370.447204
-123.329567,3571,1389.542623
127.630032,3571,1409.294542
-4.24079,3571,1428.480894
38.821033,3571,1447.805558
82.483793,3571,1466.99422
146.384851,3571,1486.900581
282.602351,3571,1506.064368
153.71428,3571,1525.218466
298.949477,3571,1544.188397
265.070235,3571,1563.272054
319.745136,3571,1582.669881
380.524698,3571,1601.698565
294.659971,3571,1620.734703
378.420524,3571,1639.737827
523.614195,3571,1659.148731
506.795014,3571,1678.050114
390.067943,3571,1697.08478
330.957665,3571,1716.070725
447.963489,3571,1735.189281
711.104516,3571,1754.678387
770.45703,3571,1773.686645
694.119117,3571,1793.497014
688.043258,3571,1813.914539
1125.663571,3571,1834.246255
1089.827477,3571,1854.318328
1137.771617,3571,1874.071705
1047.150255,3571,1893.534694
1170.136741,3571,1913.270371
1447.012695,3571,1933.508347
1521.378849,3571,1953.075064
1989.09408,3571,1972.775763
1546.414737,3571,1992.39438
1774.939325,3571,2012.444227
1547.008528,3571,2032.016799
1741.673648,3571,2051.622192
1784.891393,3571,2071.190893
1735.378652,3571,2090.925175
2224.569813,3571,2111.28466
2096.118741,3571,2130.970473
2279.807187,3571,2150.738314
1953.738699,3571,2170.327769
2045.884153,3571,2190.337329
2556.581112,3571,2209.960412
2417.051642,3571,2229.774259
2533.161817,3571,2249.490178
2575.737941,3571,2269.820785
2878.817137,3571,2289.390934
2829.59987,3571,2309.100502
2885.997673,3571,2328.728236
2292.0437,3571,2348.266575
2744.006703,3571,2368.470181
2620.064936,3571,2388.133588
-322.763777,3571,2407.732164
2399.401308,3571,2427.360469
545.228649,3571,2447.525931
3215.700226,3571,2467.023815
2253.186321,3571,2486.541363
2868.529377,3571,2506.507291
-315.074166,3571,2526.051101
1903.26629,3571,2546.271644
752.392149,3571,2565.924282
-316.95665,3571,2585.454213
1941.688484,3571,2604.898881
432.543569,3571,2625.019727
3127.320965,3571,2643.900296
2832.560316,3571,2662.479144
3390.43841,3571,2681.136613
3485.241108,3571,2699.787896
