#{"t_start": 1713158534.648464, "env_id": null}
r,l,t
-3108.123007,3571,24.658533
-4463.925168,3571,48.160923
-5084.484402,3571,71.132509
-5523.165816,3571,94.044198
-2532.530483,3571,120.835416
-2013.164453,3571,146.33542
-2071.793206,3571,171.916854
-3003.456894,3571,196.021804
-2904.995157,3571,221.956513
-2090.845119,3571,246.798776
-2820.440998,3571,271.497984
-2863.504533,3571,295.453059
-2705.670133,3571,320.195352
-2870.016535,3571,347.046085
-2377.950621,3571,371.725886
-3152.487981,3571,396.115462
-2708.685912,3571,420.912134
-2417.787452,3571,447.571166
-2603.881397,3571,472.034877
-2841.169632,3571,496.88575
-1767.705306,3571,522.717328
-1941.187491,3571,548.289824
-2365.109292,3571,574.761261
-3048.214095,3571,598.820073
-2610.713039,3571,623.538484
-2245.056925,3571,648.591967
-2495.823923,3571,674.914586
-1652.589857,3571,700.962752
-1330.892146,3571,727.422274
-601.754089,3571,754.422586
-796.323409,3571,781.418796
-900.86781,3571,809.757314
-1034.421234,3571,836.085025
-1413.379261,3571,862.227918
-816.495933,3571,888.751226
-778.083092,3571,917.453106
-610.323852,3571,944.233729
-1197.506752,3571,970.267306
-1613.532823,3571,996.345521
-1044.622867,3571,1022.6536
-910.493624,3571,1051.024368
-504.220656,3571,1077.584049
-588.468761,3571,1104.07908
-338.954156,3571,1130.710271
-850.422823,3571,1158.538058
-1230.949657,3571,1185.067518
-611.501978,3571,1211.413929
-561.594715,3571,1238.267811
-460.629189,3571,1265.023841
-681.228491,3571,1295.239271
-729.526538,3571,1323.213782
-320.03514,3571,1350.471642
-344.562885,3571,1377.495857
-368.352375,3571,1405.592466
-718.138783,3571,1433.483153
-877.97943,3571,1459.792121
-81.953113,3571,1486.575634
-435.257507,3571,1513.651129
-133.354142,3571,1542.149827
83.355364,3571,1568.720894
-741.645438,3571,1597.452152
117.583502,3571,1623.844007
-507.215377,3571,1653.443057
-705.36878,3571,1681.978442
482.898146,3571,1708.465748
213.151196,3571,1735.031932
51.436567,3571,1761.365321
-689.077967,3571,1791.938476
-686.460741,3571,1820.78242
576.384108,3571,1847.122485
536.46819,3571,1873.365435
772.957398,3571,1901.38568
483.896778,3571,1927.737612
-746.856826,3571,1956.348476
-755.942612,3571,1984.770617
-706.150979,3571,2013.627618
461.530246,3571,2041.656035
-423.595447,3571,2069.816576
-707.324015,3571,2098.452007
803.585092,3571,2124.982042
1102.41896,3571,2153.305365
1147.984183,3571,2179.678091
727.601725,3571,2207.339095
-662.057613,3571,2237.393206
770.899348,3571,2265.357615
951.968286,3571,2294.760347
942.759287,3571,2322.494618
-639.797006,3571,2352.320096
796.85439,3571,2379.41838
822.650411,3571,2407.387179
561.918488,3571,2434.669643
-95.729121,3571,2463.227912
-575.997507,3571,2492.178269
1387.885454,3571,2518.456743
-663.208802,3571,2549.259677
613.454952,3571,2576.514179
1458.713547,3571,2602.786465
246.020815,3571,2630.280533
1220.494246,3571,2658.284856
1891.377272,3571,2684.495981
1599.423171,3571,2710.80372
729.219712,3571,2737.61424
-616.210194,3571,2766.361205
-177.407817,3571,2796.293766
50.879351,3571,2824.186143
-616.534154,3571,2852.868316
1287.871405,3571,2879.063907
2144.280288,3571,2907.498753
1896.653779,3571,2934.563681
839.444189,3571,2961.059274
1078.068164,3571,2987.34485
2827.080956,3571,3013.76411
-627.737314,3571,3044.505136
-615.442867,3571,3073.472425
3247.603354,3571,3100.205968
1347.225853,3571,3126.994731
770.131187,3571,3155.677637
64.091873,3571,3184.02196
1322.625937,3571,3210.523847
-624.80243,3571,3239.253333
1749.945204,3571,3268.225641
-618.578363,3571,3297.027115
-602.524471,3571,3325.846329
486.147804,3571,3353.842395
283.499141,3571,3381.896798
2176.743135,3571,3410.089314
1569.967761,3571,3436.705603
1970.275558,3571,3463.700361
2030.247942,3571,3490.24823
2285.792846,3571,3518.337766
1837.584973,3571,3544.787108
1723.64985,3571,3571.36779
-597.950863,3571,3600.162866
2580.204828,3571,3626.786591
-593.883915,3571,3657.41916
3460.964159,3571,3683.786058
2118.91875,3571,3710.620166
-577.856604,3571,3739.532351
3803.47451,3571,3767.655895
1466.115951,3571,3794.056578
2612.805323,3571,3820.505382
2152.228033,3571,3847.000456
1911.609524,3571,3873.487707
-228.492753,3571,3903.644481
2882.712191,3571,3930.045876
4040.070428,3571,3956.396801
2541.757385,3571,3982.983202
2900.886916,3571,4011.100739
4104.629213,3571,4037.481343
2596.203256,3571,4063.862408
2866.320197,3571,4090.251107
1852.055919,3571,4117.258632
3689.604289,3571,4145.827746
1202.709207,3571,4173.513217
2008.149555,3571,4200.843853
1510.056559,3571,4229.3411
3661.095323,3571,4257.730821
3301.797123,3571,4284.473396
2532.119523,3571,4310.746224
2386.343729,3571,4337.503466
3400.756285,3571,4363.762263
4766.324237,3571,4391.865184
2386.38444,3571,4418.110722
3726.982466,3571,4444.796639
4146.932108,3571,4471.303035
1857.661008,3571,4499.079226
1753.083207,3571,4526.386364
2029.13569,3571,4553.318896
2460.017642,3571,4579.878676
2236.164272,3571,4606.265424
2088.787076,3571,4634.267786
3528.698341,3571,4660.714422
4390.771295,3571,4687.104073
2436.717531,3571,4713.427449
2330.493519,3571,4741.581531
706.150169,3571,4769.701871
3885.758472,3571,4796.140039
2306.943832,3571,4822.403971
2433.995766,3571,4848.996791
3948.834156,3571,4877.363179
-545.759166,3571,4906.252939
4406.516249,3571,4932.720658
2288.695785,3571,4959.18029
4283.021385,3571,4987.169384
2728.956893,3571,5013.77135
2222.60918,3571,5040.50977
2358.998839,3571,5067.125163
2348.341342,3571,5093.516474
2347.158726,3571,5121.768243
3628.898705,3571,5148.226417
3003.098447,3571,5175.05385
2961.891768,3571,5201.82333
4464.681629,3571,5230.198583
2780.582062,3571,5256.735931
1942.130602,3571,5283.443822
3665.530701,3571,5309.809696
4590.554906,3571,5336.061743
2821.37737,3571,5364.168345
2286.24607,3571,5390.249653
2632.262758,3571,5416.582551
2352.553038,3571,5442.801376
2201.045571,3571,5470.769987
3301.650848,3571,5497.028218
4816.582768,3571,5523.544123
737.007736,3571,5551.32002
2922.762561,3571,5577.552837
2647.526741,3571,5605.455026
2571.343588,3571,5631.600106
2496.46044,3571,5657.972738
2831.516366,3571,5684.339168
2542.365157,3571,5712.55095
2494.187428,3571,5738.879091
2596.607514,3571,5765.157497
1945.505813,3571,5791.58503
2892.23929,3571,5817.627347
2528.752661,3571,5845.628895
2778.181871,3571,5871.833588
4724.437133,3571,5898.166595
2514.547575,3571,5924.482863
2533.113375,3571,5952.7502
2890.500489,3571,5979.172321
2790.003172,3571,6005.632978
2631.054005,3571,6032.087565
419.242582,3571,6058.832726
3276.170332,3571,6087.232293
2973.144795,3571,6113.529966
2650.395675,3571,6139.817359
2998.131124,3571,6166.169793
2912.048668,3571,6194.066577
3006.82123,3571,6220.573222
3077.341457,3571,6247.008613
2777.389481,3571,6273.123975
2450.555127,3571,6301.053258
2763.651115,3571,6327.800865
4590.63817,3571,6354.204909
3088.339911,3571,6380.659546
3303.17862,3571,6407.314721
4529.743302,3571,6435.550414
5093.82974,3571,6461.989559
3008.395268,3571,6488.23826
2947.375193,3571,6514.636331
2397.282721,3571,6542.866029
3110.084306,3571,6569.505454
4553.630013,3571,6595.988868
2889.310955,3571,6622.196675
2838.828998,3571,6648.31784
2956.831785,3571,6676.206057
2943.134275,3571,6702.913843
2946.049623,3571,6729.346792
3290.780711,3571,6755.815427
4799.07024,3571,6784.06759
4487.393125,3571,6810.587136
2791.639045,3571,6836.993691
3045.870858,3571,6863.430109
2881.299256,3571,6889.823385
4524.791891,3571,6917.876568
4849.602847,3571,6944.246627
4386.830566,3571,6971.234452
2834.101506,3571,6997.979489
3207.523095,3571,7025.6678
3397.81716,3571,7052.529598
5363.938831,3571,7079.485481
2748.68399,3571,7106.125752
2667.312457,3571,7133.222291
2794.129025,3571,7161.205049
3085.336505,3571,7187.837996
2973.888652,3571,7214.375844
4533.59857,3571,7240.845306
1152.746738,3571,7270.50179
5053.065848,3571,7297.460644
2807.297779,3571,7324.43306
3570.816225,3571,7351.446618
2679.589391,3571,7378.811561
2680.601466,3571,7406.942431
4452.452398,3571,7434.140912
5085.396236,3571,7461.027034
4479.103478,3571,7488.248139
3011.10746,3571,7516.391281
3249.974134,3571,7543.327033
2967.48896,3571,7570.151938
4588.557213,3571,7597.433279
4832.760321,3571,7624.492529
